Wall time,Step,Value
1492115433.399552,94,0.0
1492115533.56752,39406,0.18932539224624634
1492115633.669498,80037,0.19000956416130066
1492115733.750691,119985,0.19125807285308838
1492115834.302312,160614,0.2137765884399414
1492115934.80386,200597,0.22467206418514252
1492116035.084049,241035,0.24108383059501648
1492116135.377813,278998,0.25103482604026794
1492116235.377989,319309,0.263984739780426
1492116335.573222,359256,0.33979877829551697
1492116435.653725,399558,0.33166491985321045
1492116536.201053,439585,0.3513076901435852
1492116636.390082,480176,0.39106523990631104
1492116736.495233,520040,0.45728564262390137
1492116836.731582,560131,0.5802198648452759
1492116937.202967,600330,0.6496765613555908
1492117037.395611,641129,0.6626914739608765
1492117137.561624,680626,0.6905333399772644
1492117237.642904,721325,0.7658305168151855
1492117337.699179,761755,0.8907775282859802
1492117437.912574,802846,0.9015831351280212
1492117538.163278,843719,0.8982182741165161
1492117638.378325,884823,1.0152772665023804
1492117738.611761,925896,1.0123485326766968
1492117838.744077,967022,1.0467071533203125
1492117938.745177,1008109,0.9921923875808716
1492118039.0175,1049182,0.9648104906082153
1492118139.248332,1090388,1.035517930984497
1492118239.248991,1131394,1.2293809652328491
1492118339.324442,1172705,1.1849284172058105
1492118439.477403,1213838,1.1412957906723022
1492118539.55107,1254793,1.4889724254608154
1492118639.627399,1295955,1.3521088361740112
1492118739.771813,1336783,1.4190067052841187
1492118839.857172,1377138,1.437700867652893
1492118940.006776,1417883,1.6911650896072388
1492119040.594363,1458961,1.4822158813476562
1492119140.89415,1498154,1.5272787809371948
1492119241.179286,1537141,1.5616710186004639
1492119341.226882,1577973,1.2768259048461914
1492119441.34596,1619028,1.9116119146347046
1492119541.375551,1660153,1.9901766777038574
1492119641.543725,1701084,1.7421172857284546
1492119741.661552,1742364,1.746178150177002
1492119841.88602,1783603,1.7031981945037842
1492119942.161923,1824769,1.6005408763885498
1492120042.281361,1865527,1.9901375770568848
1492120142.334978,1906854,1.890293002128601
1492120242.517295,1947808,1.9032686948776245
1492120342.662907,1988812,2.0234034061431885
1492120442.713732,2029923,2.1835739612579346
1492120543.018062,2071026,1.9491913318634033
1492120643.168662,2112115,2.022430419921875
1492120743.246641,2153174,2.1335299015045166
1492120843.316199,2194269,1.9781782627105713
1492120943.556761,2235215,2.3602445125579834
1492121043.666193,2276295,2.0106594562530518
1492121143.957417,2317644,1.84991455078125
1492121244.010953,2358770,2.2843990325927734
1492121344.101053,2399714,1.7877354621887207
1492121444.352906,2441001,2.667539119720459
1492121544.465822,2481803,2.278698205947876
1492121644.672514,2522653,1.7420638799667358
1492121744.699685,2563671,2.3559930324554443
1492121844.852878,2604718,1.9371087551116943
1492121944.956591,2645907,2.1159605979919434
1492122045.004384,2686946,1.5352392196655273
1492122145.028081,2728046,2.3723082542419434
1492122245.044038,2768951,2.357327461242676
1492122345.176949,2810041,1.7935192584991455
1492122445.31003,2851017,2.827674388885498
1492122545.641439,2892115,2.496291399002075
1492122645.712748,2933213,1.8987796306610107
1492122745.77985,2974163,2.5781354904174805
1492122845.811523,3015269,2.673740863800049
1492122945.863276,3056362,2.6190333366394043
1492123046.012752,3097415,2.577535390853882
