Wall time,Step,Value
1490344956.328235,15815242,1140.0
1490345056.463631,15857859,1570.0
1490345156.544258,15900007,240.0
1490345256.69295,15942291,540.0
1490345356.748106,15984598,600.0
1490345457.078955,16026616,280.0
1490345557.216416,16068984,350.0
1490345657.268492,16111357,480.0
1490345757.36484,16153690,510.0
1490345857.572695,16196200,280.0
1490345957.642925,16238560,990.0
1490346057.832531,16280887,180.0
1490346157.935559,16323215,180.0
1490346258.011215,16365284,880.0
1490346358.148696,16407642,970.0
1490346458.484721,16450096,670.0
1490346558.543652,16492153,380.0
1490346658.740082,16534545,200.0
1490346758.871775,16576836,340.0
1490346858.89516,16619115,490.0
1490346959.147824,16661241,670.0
1490347059.397402,16703487,260.0
1490347159.717426,16745829,750.0
1490347259.905019,16787945,1330.0
1490347360.025648,16830046,980.0
1490347460.173794,16872490,2060.0
1490347560.397959,16914601,350.0
1490347660.558653,16956883,950.0
1490347760.571201,16998974,490.0
1490347861.021587,17041130,840.0
1490347961.021706,17083516,370.0
1490348061.250978,17125753,270.0
1490348161.40153,17167881,680.0
1490348261.847688,17210298,850.0
1490348361.878967,17252571,260.0
1490348462.134035,17294844,380.0
1490348562.281299,17337174,360.0
1490348662.47727,17379322,480.0
1490348763.02459,17421749,670.0
1490348863.116028,17463926,490.0
1490348963.248776,17506007,370.0
1490349063.48937,17548329,250.0
1490349163.836563,17590676,810.0
1490349264.324048,17632821,540.0
1490349364.446068,17674994,960.0
1490349464.516198,17717267,830.0
1490349564.763391,17759398,680.0
1490349664.781109,17801537,360.0
1490349764.827341,17843830,530.0
1490349864.939595,17885946,3920.0
1490349964.928506,17927742,950.0
1490350065.135982,17970137,460.0
1490350165.342547,18012475,390.0
1490350265.477126,18054793,730.0
1490350365.749125,18097110,270.0
1490350465.913137,18139432,450.0
1490350565.935432,18181506,820.0
1490350665.99193,18223844,1980.0
1490350766.195236,18265868,290.0
1490350866.421558,18307207,1250.0
1490350966.425121,18349215,310.0
1490351066.656862,18390757,730.0
1490351166.909994,18432898,340.0
1490351266.966237,18475094,750.0
1490351367.03014,18517309,250.0
1490351467.277556,18559797,230.0
1490351567.530242,18602210,870.0
1490351667.535453,18644097,700.0
1490351767.785149,18686515,1130.0
1490351867.890613,18728911,620.0
1490351968.091433,18770753,610.0
1490352068.145976,18812882,230.0
1490352168.392837,18855430,490.0
1490352268.464477,18897288,850.0
1490352368.531839,18939419,310.0
1490352468.797744,18981528,890.0
1490352568.860137,19023648,470.0
1490352668.868943,19066018,550.0
1490352768.865546,19108034,260.0
1490352868.987632,19150207,1820.0
1490352969.094058,19192611,310.0
1490353069.381411,19234666,550.0
1490353169.598862,19277011,730.0
1490353269.746356,19319311,990.0
1490353370.023241,19361421,640.0
1490353470.301537,19403770,590.0
1490353570.519831,19445981,1510.0
1490353670.55858,19487816,610.0
1490353770.808805,19530254,280.0
1490353870.962969,19572328,730.0
1490353971.197857,19614734,560.0
1490354071.432135,19657036,220.0
1490354171.697304,19699181,220.0
1490354272.047664,19741528,1040.0
1490354372.234932,19783811,840.0
1490354472.637086,19826001,650.0
1490354572.787666,19868414,320.0
1490354672.903543,19910642,270.0
1490354773.116172,19952726,170.0
1490354873.191637,19995104,500.0
1490354973.403252,20037326,330.0
1490355073.414038,20079394,380.0
1490355173.435922,20121572,650.0
1490355273.47048,20163621,670.0
1490355373.636472,20205701,550.0
1490355473.873375,20247966,610.0
1490355574.071337,20290013,530.0
1490355674.12106,20332608,270.0
1490355774.223491,20374686,1120.0
1490355874.296029,20416679,330.0
1490355974.432723,20459202,450.0
1490356074.582495,20501374,760.0
1490356174.783239,20543717,460.0
1490356274.913061,20585852,320.0
1490356375.192742,20627873,410.0
1490356475.460755,20670379,2130.0
1490356575.594371,20712428,760.0
1490356675.701753,20754482,440.0
1490356775.708379,20796706,410.0
1490356876.131746,20838918,470.0
1490356976.16251,20881035,420.0
1490357076.26356,20923500,690.0
1490357176.381768,20965550,1260.0
1490357276.450287,21007650,300.0
1490357376.667443,21049906,640.0
1490357476.70498,21091944,530.0
1490357576.837757,21134419,580.0
1490357676.990216,21176301,320.0
1490357776.988198,21218472,610.0
1490357877.204097,21260798,730.0
1490357977.291634,21303056,980.0
1490358077.512347,21344994,220.0
1490358177.755023,21387299,420.0
1490358277.906298,21429304,1090.0
1490358378.090694,21471600,410.0
1490358478.3315,21513784,630.0
1490358578.446924,21555816,300.0
1490358678.741695,21598112,310.0
1490358778.788655,21640412,1610.0
1490358879.02682,21682729,360.0
1490358979.178349,21725145,280.0
1490359079.392978,21767234,310.0
1490359179.642123,21809701,260.0
1490359279.859454,21851950,720.0
1490359380.107834,21893911,290.0
1490359480.321987,21936182,470.0
1490359580.355041,21978642,840.0
1490359680.55588,22020538,460.0
1490359780.730363,22062705,330.0
1490359880.877896,22105251,610.0
1490359981.076587,22147300,260.0
1490360081.345412,22189426,350.0
1490360181.545911,22231693,190.0
1490360281.592633,22273902,990.0
1490360381.859723,22316152,220.0
1490360481.881023,22358040,520.0
1490360582.084269,22400219,1840.0
1490360682.319962,22442806,290.0
1490360782.458159,22484905,1420.0
1490360882.499603,22526953,590.0
1490360982.670357,22569235,1970.0
1490361082.926804,22611200,560.0
1490361183.035807,22653436,1040.0
1490361283.158631,22695666,1050.0
1490361383.280799,22737769,400.0
1490361483.529563,22780009,960.0
1490361583.715839,22822145,680.0
1490361683.908803,22864419,260.0
1490361783.939039,22906532,750.0
1490361883.944869,22948358,530.0
1490361984.199831,22991045,850.0
1490362084.332715,23033141,260.0
1490362184.748464,23075288,1170.0
1490362284.834559,23117645,330.0
1490362385.028704,23160071,1020.0
1490362485.021402,23202029,450.0
1490362585.170443,23244168,360.0
1490362685.276804,23286304,670.0
1490362785.490752,23328715,1090.0
1490362885.879972,23370988,590.0
1490362986.11888,23413071,480.0
1490363086.261576,23455491,230.0
1490363186.547922,23497785,290.0
1490363286.80813,23539945,300.0
1490363386.976133,23582415,480.0
1490363487.006915,23624308,600.0
1490363587.138825,23666423,270.0
1490363687.154041,23708740,170.0
1490363787.303115,23750731,430.0
1490363887.534818,23793121,270.0
1490363987.938362,23835347,210.0
1490364088.127904,23877556,460.0
1490364188.340787,23919625,670.0
1490364288.423168,23961699,2070.0
1490364388.438426,24003713,200.0
1490364488.869162,24046111,410.0
1490364589.047543,24088104,220.0
1490364689.073515,24130120,470.0
1490364789.341925,24172482,210.0
1490364889.615933,24214614,1010.0
1490364989.636315,24256723,310.0
1490365089.75342,24299001,830.0
1490365190.062196,24340932,690.0
1490365290.143284,24382911,800.0
1490365390.302657,24425091,1220.0
1490365490.400391,24467163,280.0
1490365590.551271,24509385,320.0
1490365690.713036,24551593,940.0
1490365790.874334,24593558,270.0
1490365890.901042,24635997,800.0
1490365990.89388,24677858,310.0
1490366091.124141,24719929,550.0
1490366191.293521,24762365,230.0
1490366291.494522,24804564,720.0
1490366391.719321,24846521,340.0
1490366491.846071,24888789,590.0
1490366592.076074,24931060,530.0
1490366692.303611,24973209,190.0
1490366792.511156,25015471,270.0
1490366892.772268,25057464,470.0
1490366992.899331,25099789,720.0
1490367093.080262,25141911,1070.0
1490367193.346015,25184075,270.0
1490367293.47387,25226211,310.0
1490367393.679478,25268347,820.0
1490367493.734454,25310232,1230.0
1490367594.150043,25352581,1970.0
1490367694.304502,25394573,410.0
1490367794.395238,25436674,260.0
1490367894.635039,25478872,170.0
1490367994.870145,25521065,360.0
1490368095.085453,25563137,490.0
1490368195.2156,25605582,290.0
1490368295.297422,25647294,370.0
1490368395.313451,25689285,340.0
1490368495.350614,25731691,450.0
1490368595.598981,25773609,530.0
1490368695.654825,25816064,490.0
1490368795.901772,25857824,400.0
1490368895.998683,25899970,110.0
1490368996.117681,25942198,210.0
1490369096.623619,25984464,440.0
1490369196.785961,26026657,1360.0
1490369296.880803,26069116,470.0
1490369397.16947,26111005,540.0
1490369497.475413,26153569,450.0
1490369597.704691,26195769,710.0
1490369697.763744,26237811,1140.0
1490369798.001604,26280269,280.0
1490369898.053305,26321993,1530.0
1490369998.153829,26364056,730.0
1490370098.218773,26406520,370.0
